gene,log2FC
PPP6R2,17.927605
PRKACA,
PXN,23.11986
RABEP2,20.15643
RABGAP1,21.98363
RAD51C,20.750194999999998
RASEF,19.339785
RBM17,22.938560000000003
REPIN1,19.305699999999998
RGL3,18.948815
RTN3,20.391745
S1PR3,21.891090000000002
SHROOM3,18.252145
SIN3A,
SKP2,19.84591
SLC9A3R1,17.43441
SLCO4A1,
SMCR8,19.32392
SNX2,23.570195
SNX5,
SP100,18.484075
SRGAP2,18.574775000000002
SUDS3,21.61788
SVIL,22.884055
SYTL2,21.82112
TAF9B,
TANC1,21.612195
TBC1D23,17.505135
TBX2,18.8594
TC2N,24.52411
TCOF1,24.284100000000002
TESK2,20.893975
TLN1,21.94108
TMEM45B,18.011745
TMSB10,19.93452
TNRC6B,
TPMT,
TRAPPC10,
TRIM47,21.885585
TSC22D4,23.176275
U2SURP,24.792225000000002
UIMC1,15.312065
UMPS,
UNK,19.001530000000002
USP10,17.31687
USP54,21.56528
VPS35,18.791995
WIPF2,23.3597
ZDHHC5,17.483584999999998
ZFHX3,20.387525
ZNF217,22.41216
2002-09-01 00:00:00,28.664814999999997
2005-09-01 00:00:00,21.886175
2006-09-01 00:00:00,19.141125
2007-09-01 00:00:00,24.078505
2009-09-01 00:00:00,26.522329999999997
AAAS,27.42053
AARS,
AATF,24.92089
ABCC2,18.974709999999998
ABI2,
ABL2,
ABLIM1,
ABLIM2,16.36157
ACBD3,
ACBD5,12.785826
ACD,22.081229999999998
ACKR3,21.058799999999998
ACOX1,
ACSL1,22.695855
ACSS2,24.335655000000003
ACTB;ACTG2;ACTA1;ACTC1;ACTA2;ACTG1,
ACTB;ACTG2;POTEE;POTEF;ACTBL2;POTEKP;ACTA1;ACTC1;ACTA2;ACTG1,19.583505
ACTB,14.689449499999998
ACTL6A,26.05905
ACTN4;ACTN1;ACTN3;ACTN2,18.730505
ACTR8,22.12961
ADAM10,
ADAM17,22.69081
ADAM29,15.140505999999998
ADAM9,22.703364999999998
ADARB1,24.83596
ADAR,24.333075
ADAT1,25.84362
ADCY6,
ADD1,
ADH5,
ADRBK1;ADRBK2,11.837015000000001
ADRBK1,24.930765
ADRM1,20.18354
AEBP2,23.393565000000002
AFTPH,21.230835
AGAP1,23.999885
AGAP3,21.386905
AGO2,
AIF1L,24.23379
AIFM1,24.047825
AIM1,21.303565
AKAP10,24.69593
AKAP13,20.49458
